entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2018-01-15,local-authority-eng:TEN,15/00578/FUL,"Sandles Inn, 26 Rosemary Road, Clacton On Sea, Essex CO15 1NZ",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NN3PR3QB0GD00,,not owned by a public authority,pending decision,,,51.7898,1.155063,0.16,23,23,2018-01-15,,,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
2018-01-15,local-authority-eng:TEN,15/00615/FUL,"20-20B Market Street, Harwich CO12 3DX",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NN9NLWQB0GS00,,not owned by a public authority,permissioned,,,51.946683,1.287475,0.02,3,3,2018-01-15,,,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
2018-01-15,local-authority-eng:TEN,17/01038/FUL,"27-31 High Street, Walton On The Naze, Essex CO14 8BN",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ORY6F4QB0EL00,,not owned by a public authority,permissioned,,,51.848691,1.269221,0.07,8,8,2018-01-15,,,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
2018-01-15,local-authority-eng:TEN,17/01048/FUL,"274 Harwich Road, Little Clacton, Clacton On Sea, Essex CO16 9PY",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OS5W9RQB0KO00,,not owned by a public authority,permissioned,,,51.841504,1.156553,0.46,7,7,2018-01-15,,,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
2018-01-15,local-authority-eng:TEN,16/01358/FUL,"7 Sea Pink Way, Jaywick, Essex CO15 2HQ",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OCS432QB0GS00,,not owned by a public authority,permissioned,,,51.77386,1.1166,0.02,7,7,2018-01-15,,,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
2018-01-15,local-authority-eng:TEN,11/01124/FUL,723 Main Road Harwich Essex,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LRYT6ZQB07Y00,,not owned by a public authority,not permissioned,,,51.930359,1.24416,0.1,9,9,2018-01-15,,Permission granted - expired 17.01.2015. Demolition completed.,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
2018-01-15,local-authority-eng:TEN,15/01575/FUL,"Land Site of Former Ramsey Primary School, Wix Road, Ramsey, Essex",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NW7EX1QB0GS00,,not owned by a public authority,permissioned,,,51.927368,1.209004,0.62,8,8,2018-01-15,,,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
2018-01-15,local-authority-eng:TEN,17/01479/FUL,"2 High Street, Manningtree, Essex CO11 1AD",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OVUUROQB0LD00,,not owned by a public authority,permissioned,,,51.945187,1.062428,0.04,7,7,2018-01-15,,,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
2018-01-15,local-authority-eng:TEN,14/00693/FUL,"70-84A Connaught Avenue, Frinton",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N6A5IUQB0G400,,not owned by a public authority,permissioned,,,51.832986,1.245457,0.1,8,8,2018-01-15,,,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
2018-01-15,local-authority-eng:TEN,15/01791/FUL,"79 Stour Road, Harwich",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NYF3JHQB01U00,,not owned by a public authority,permissioned,,,51.940989,1.283174,0.05,8,8,2018-01-15,,,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
2018-01-15,local-authority-eng:TEN,16/01397/DETAIL,"Forbourn Motors, High Street, Thorpe-le-Soken",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OD2VICQB0K100,,not owned by a public authority,permissioned,,,51.858551,1.161289,0.22,8,8,2018-01-15,,,9bd3f66080949054223825fbef170d5f00c7c1420b89964457009d4ddfc24131
