address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,local-authority-eng:IOW,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BFR008,"""Former Worsley Inn, High Stret, Wroxall, PO38 3HB""",https://www.iwight.com/brownfieldlandregister,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,local-authority-eng:IOW,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BFR026,"""Former Somerton Reservoir, Newport Road, Cowes, PO31 7ER""",https://www.iwight.com/brownfieldlandregister,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,local-authority-eng:IOW,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BFR038a,"""9-11 George Street, Ryde, PO33 2EB""",https://www.iwight.com/brownfieldlandregister,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,local-authority-eng:IOW,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BFR038b,"""6-8 Georges Street, Ryde, PO33 2EB""",https://www.iwight.com/brownfieldlandregister,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,local-authority-eng:IOW,,owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BFR047,"""SPA site, Shanklin Esplanade""",https://www.iwight.com/brownfieldlandregister,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,local-authority-eng:IOW,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BFR050,"""23, Carter Street, Sandown, PO36 8DG""",https://www.iwight.com/brownfieldlandregister,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,local-authority-eng:IOW,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BFR053,"""Car sales area, Havenstreet Garage, Main Road, Havenstreet, PO33 4DR""",https://www.iwight.com/brownfieldlandregister,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,local-authority-eng:IOW,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BFR073,"""Cheeks Farm, Merstone Lane, Merstone, Newport, PO30 3DE""",https://www.iwight.com/brownfieldlandregister,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,9,9,,,,"""Permission was for 14, 5 have been built to date. P/01675/10&P/01194/12& P/00164/16""",,,,,,local-authority-eng:IOW,,not owned by a public authority,,,,,,,,2016-04-07,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR080,"""Berkeley Court Hotel, 2 Culver Road, Shanklin, PO376ER""",https://www.iwight.com/brownfieldlandregister,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,1,1,,,,"""P/00689/15""",,,,,,local-authority-eng:IOW,,not owned by a public authority,,,,,,,,2015-09-03,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR081,"""Site of Former Rozelle Hotel, 22 Atherley Road, Shanklin, PO377AT""",https://www.iwight.com/brownfieldlandregister,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,41,41,,,,"""P/01562/14""",,,,,,local-authority-eng:IOW,,not owned by a public authority,,,,,,,,2015-03-19,,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,BFR082,"""Land between Castle Street and Church Path fronting Old Road, East Cowes, PO32""",https://www.iwight.com/brownfieldlandregister,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,10,10,,,,"""P/01263/14""",,,,,,local-authority-eng:IOW,,not owned by a public authority,,,,,,,,2015-07-01,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR083,"""Sans Souci, Main Road, Havenstreet, Ryde, PO334DL""",https://www.iwight.com/brownfieldlandregister,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,,,,,,12,12,,,,"""P/00039/16""",,,,,,local-authority-eng:IOW,,not owned by a public authority,,,,,,,,2017-03-08,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR084,"""Westfield Holiday Centre, Shore Road, Ventnor, PO381RL""",https://www.iwight.com/brownfieldlandregister,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,11.29,,,,,,,,,,,,,,,,,,128,128,,,,"""P/00573/15""",,,,,,local-authority-eng:IOW,,not owned by a public authority,,,,,,,,2015-12-01,,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BFR085,"""Former Harcourt Sands Holiday Park, Puckpool Hill, Ryde, PO331PJ""",https://www.iwight.com/brownfieldlandregister,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,22/12/2017,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,9,9,,,,"""P/00700/16""",,,,,,local-authority-eng:IOW,,not owned by a public authority,,,,,,,,2016-11-01,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR086,"""Spring Vale Hotel & Restaurant, Springvale Road, Seaview, PO345AN""",https://www.iwight.com/brownfieldlandregister,,,22/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
