OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL01,Depot at Feltham Hill Road and Poplar Road,-0.444415,51.428108,,1.47,not owned by a public authority,,Not permissioned,,,,30,30,30,yes,,2017-09-01,2017-12-22,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL02,28-44 Feltham Road,-0.453851,51.432444,,0.47,not owned by a public authority,,Not permissioned,,,,23,23,23,yes,,2017-09-01,2017-12-22,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL03,158-166 Feltham Road,-0.443777,51.432421,,1.3,not owned by a public authority,,Not permissioned,,,,60,60,60,yes,,2017-09-01,2017-12-22,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL04,Works adjoining Harrow Road,-0.458937,51.44597,,0.58,not owned by a public authority,,Not permissioned,,,,36,36,36,yes,,2017-09-01,2017-12-22,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL05,Steel works and Builders Merchants,-0.50432,51.432314,,1.37,not owned by a public authority,,Not permissioned,,,,100,100,100,yes,,2017-09-01,2017-12-22,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL06,"381-385 Staines Road West, Ashford",-0.443849,51.422604,,0.26,not owned by a public authority,,permissioned,full planning permission,2017-02-13,,12,12,12,yes,,2017-11-09,2017-12-22,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL07,"Builders Merchants, Moor Lane, Staines",-0.515553,51.437618,,0.57,not owned by a public authority,,permissioned,full planning permission,2015-09-03,,36,36,36,yes,Flood zone 2,2017-11-09,2017-12-22,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL08,"42 High Street, Shepperton",-0.448338,51.394406,,0.67,not owned by a public authority,,permissioned,full planning permission,2018-02-09,,6,6,6,yes,,2018-11-13,2018-11-13,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL09,"Bridge Street Car Park, Staines",-0.516626,51.434253,,0.71,owned by a public authority,,permissioned,full planning permission,2016-03-15,,205,205,205,yes,,2017-11-09,2017-12-22,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL10,"Renshaw Trading estate, Mill Mead, Staines",-0.509319,51.436083,,0.86,not owned by a public authority,,pending decision,outline planning permission,,,275,275,275,yes,Flood zone 2,2017-11-09,2017-12-22,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL11,"Shapla Restauarant, Russell Road, Shepperton",-0.44724,51.390021,,0.04,not owned by a public authority,,permissioned,full planning permission,2016-10-07,,5,5,5,yes,,2017-12-02,2017-12-22,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL12,"Monkey Puzzle House, 69-71 Windmill Road, Sunbury",-0.429963,51.418195,,0.17,not owned by a public authority,,permissioned,full planning permission,2017-09-26,,14,14,14,yes,,2017-12-02,2017-12-22,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL13,"Headline House, Stanwell Road, Ashford",-0.471731,51.434454,,0.95,not owned by a public authority,,permissioned,full planning permission,2017-09-22,,10,10,10,yes,Application approved on appeal,2017-12-02,2017-12-22,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL14,Land to r/o 7-9 Woodthorpe Road & 5 Station Road Ashford,-0.468882,51.435732,,0.1,not owned by a public authority,,permissioned,full planning permission,2018-02-23,,5,5,5,yes,,2018-11-13,2018-11-13,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL15,"Inglewood Hall, Green Street, Sunbury",-0.41684,51.41084,,0.1,not owned by a public authority,,permissioned,full planning permission,2017-11-10,,6,6,6,yes,,2018-12-10,2018-12-21,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL16,"Majestic House, to the north of High Street, Staines",-0.503891,51.436153,,1.05,not owned by a public authority,,permissioned,reserved matters approval,2016-06-07,,260,260,260,yes,,2017-12-02,2018-12-21,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,Bl17,"Staines Town Hall, Market Square, Staines",-0.514167,51.432914,,0.14,not owned by a public authority,,permissioned,full planning permission,2018-02-09,,13,13,13,yes,,2018-12-10,2018-12-21,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL18,"Benwell House, Green Street, Sunbury",-0.442715,51.39135,,0.18,owned by a public authority,,permissioned,other,2018-01-15,,33,33,33,yes,,2018-12-10,2018-12-21,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL19,"Dolphin House, 140 Windmill Road, Sunbury",-0.43099,51.41618,,0.35,not owned by a public authority,,permissioned,full planning permission,2017-07-03,,7,7,7,yes,,2018-12-10,2017-12-21,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL20,"251-253 Staines Road West, Sunbury",-0.425377,51.420095,,0.05,not owned by a public authority,,permissioned,full planning permission,2016-11-01,,5,5,5,yes,,2017-12-02,2017-12-22,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL21,"Bridge House, Bridge Street, Staines",-0.51558,51.434237,,0.06,not owned by a public authority,,permissioned,full planning permission,2016-12-15,,9,9,9,yes,,2017-12-02,2017-12-22,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL22,"20 Bridge Street, Staines",-0.51597,51.43436,,0.01,not owned by a public authority,,permissioned,full planning permission,2018-07-30,,8,8,8,yes,,2018-12-10,2018-12-21,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL23,"5-7 Clarence Street, Staines",-0.51379,51.43358,,0.01,not owned by a public authority,,permissioned,other,2018-08-22,,5,5,5,yes,,2018-12-10,2018-12-21,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL24,"West Wing, Council Offices, Knowle Green, Staines",-0.50008,51.4293,,0.67,owned by a public authority,,permissioned,other,2018-10-17,,25,25,25,yes,,2018-12-10,2018-12-21,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL25,"62 Kingston Road, Staines",-0.50202,51.43305,,0.02,not owned by a public authority,,permissioned,full planning permission,2018-12-10,,5,5,5,yes,,2018-12-10,2018-12-21,
http://opendatacommunities.org/doc/district-council/spelthorne,Spelthorne Borough Council,BL26,"Strata Technology Ltd, Strata House, Batavia Road, Sunbury",-0.4075,51.41499,,,not owned by a public authority,,permissioned,other,2018-12-10,,12,12,12,yes,,2018-12-10,2018-12-21,
