address,address-text,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
,,http://opendatacommunities.org/id/dev-corp/london-legacy,,,,,,,,,,,,,,,,,,,,2020-09-01,
