row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,18
2,NetDwellingsRangeFrom,default,26
3,NetDwellingsRangeFrom,default,14
4,NetDwellingsRangeFrom,default,11
5,NetDwellingsRangeFrom,default,15
6,NetDwellingsRangeFrom,default,36
7,NetDwellingsRangeFrom,default,90
8,NetDwellingsRangeFrom,default,14
9,NetDwellingsRangeFrom,default,75
10,NetDwellingsRangeFrom,default,65
11,NetDwellingsRangeFrom,default,32
12,NetDwellingsRangeFrom,default,390
13,NetDwellingsRangeFrom,default,12
14,NetDwellingsRangeFrom,default,8
15,NetDwellingsRangeFrom,default,35
15,NetDwellingsRangeTo,default,35
16,NetDwellingsRangeFrom,default,18
16,NetDwellingsRangeTo,default,18
17,NetDwellingsRangeFrom,default,9
17,NetDwellingsRangeTo,default,9
18,NetDwellingsRangeFrom,default,68
18,NetDwellingsRangeTo,default,68
19,NetDwellingsRangeFrom,default,6
19,NetDwellingsRangeTo,default,6
20,NetDwellingsRangeFrom,default,10
20,NetDwellingsRangeTo,default,10
21,NetDwellingsRangeFrom,default,10
21,NetDwellingsRangeTo,default,10
22,NetDwellingsRangeFrom,default,13
22,NetDwellingsRangeTo,default,13
23,NetDwellingsRangeFrom,default,5
23,NetDwellingsRangeTo,default,5
24,NetDwellingsRangeFrom,default,18
24,NetDwellingsRangeTo,default,18
25,NetDwellingsRangeFrom,default,5
25,NetDwellingsRangeTo,default,5
